sweep_index,point_index,elapsed_time_s,angle_deg,dist_mm
5.200000000000000000e+01,2.000000000000000000e+00,1.039856555461883545e+02,4.500000000000000000e+01,2.124000000000000057e+02
5.300000000000000000e+01,0.000000000000000000e+00,1.059468667507171631e+02,-4.500000000000000000e+01,2.033300000000000125e+02
5.300000000000000000e+01,1.000000000000000000e+00,1.059468667507171631e+02,0.000000000000000000e+00,1.835999999999999943e+02
5.300000000000000000e+01,2.000000000000000000e+00,1.059468667507171631e+02,4.500000000000000000e+01,2.118000000000000114e+02
5.400000000000000000e+01,0.000000000000000000e+00,1.079095661640167236e+02,-4.500000000000000000e+01,2.048000000000000114e+02
5.400000000000000000e+01,1.000000000000000000e+00,1.079095661640167236e+02,0.000000000000000000e+00,1.838000000000000114e+02
5.400000000000000000e+01,2.000000000000000000e+00,1.079095661640167236e+02,4.500000000000000000e+01,2.125999999999999943e+02
5.500000000000000000e+01,0.000000000000000000e+00,1.098708536624908447e+02,-4.500000000000000000e+01,2.065999999999999943e+02
5.500000000000000000e+01,1.000000000000000000e+00,1.098708536624908447e+02,0.000000000000000000e+00,1.825999999999999943e+02
5.500000000000000000e+01,2.000000000000000000e+00,1.098708536624908447e+02,4.500000000000000000e+01,2.131999999999999886e+02
5.600000000000000000e+01,0.000000000000000000e+00,1.118321666717529297e+02,-4.500000000000000000e+01,2.051999999999999886e+02
5.600000000000000000e+01,1.000000000000000000e+00,1.118321666717529297e+02,0.000000000000000000e+00,1.835999999999999943e+02
5.600000000000000000e+01,2.000000000000000000e+00,1.118321666717529297e+02,4.500000000000000000e+01,2.130000000000000000e+02
5.700000000000000000e+01,0.000000000000000000e+00,1.137947328090667725e+02,-4.500000000000000000e+01,2.034000000000000057e+02
5.700000000000000000e+01,1.000000000000000000e+00,1.137947328090667725e+02,0.000000000000000000e+00,1.846699999999999875e+02
5.700000000000000000e+01,2.000000000000000000e+00,1.137947328090667725e+02,4.500000000000000000e+01,2.131999999999999886e+02
5.800000000000000000e+01,0.000000000000000000e+00,1.157555732727050781e+02,-4.500000000000000000e+01,2.044000000000000057e+02
5.800000000000000000e+01,1.000000000000000000e+00,1.157555732727050781e+02,0.000000000000000000e+00,1.841999999999999886e+02
5.800000000000000000e+01,2.000000000000000000e+00,1.157555732727050781e+02,4.500000000000000000e+01,2.118000000000000114e+02
5.900000000000000000e+01,0.000000000000000000e+00,1.177181458473205566e+02,-4.500000000000000000e+01,2.054000000000000057e+02
5.900000000000000000e+01,1.000000000000000000e+00,1.177181458473205566e+02,0.000000000000000000e+00,1.840000000000000000e+02
5.900000000000000000e+01,2.000000000000000000e+00,1.177181458473205566e+02,4.500000000000000000e+01,2.120000000000000000e+02
6.000000000000000000e+01,0.000000000000000000e+00,1.196798932552337646e+02,-4.500000000000000000e+01,2.055999999999999943e+02
6.000000000000000000e+01,1.000000000000000000e+00,1.196798932552337646e+02,0.000000000000000000e+00,1.848000000000000114e+02
6.000000000000000000e+01,2.000000000000000000e+00,1.196798932552337646e+02,4.500000000000000000e+01,2.118000000000000114e+02
6.100000000000000000e+01,0.000000000000000000e+00,1.216415414810180664e+02,-4.500000000000000000e+01,2.054000000000000057e+02
6.100000000000000000e+01,1.000000000000000000e+00,1.216415414810180664e+02,0.000000000000000000e+00,1.835999999999999943e+02
6.100000000000000000e+01,2.000000000000000000e+00,1.216415414810180664e+02,4.500000000000000000e+01,2.113300000000000125e+02
